rsi,bb_up,bb_down,ma100,ma50,VA,VN
1584673871.89306569,0.98910623,0.98683977,0.98588667,0.98741717,1,2
1584674171.24662638,0.98913917,0.98668283,0.98590614,0.98739572,2,2
1584674459.01383352,0.98935201,0.98620899,0.98590048,0.98732608,2,2
1584674756.16325402,0.98957451,0.98566449,0.98588344,0.98723643,2,2
1584675052.06468296,0.98994847,0.98481253,0.98583941,0.98709618,2,1
1584675371.56461096,0.98994235,0.98441965,0.98581566,0.98699986,1,2
1584675667.35625887,0.98996682,0.98392218,0.98577773,0.98687829,2,2
1584675962.67497659,0.9901098,0.9832272,0.98571916,0.98671915,2,2
1584676260.20515108,0.99021816,0.98247984,0.98564729,0.98653761,2,2
1584676558.38711953,0.9902632,0.9817238,0.98556457,0.98633888,2,1
1584676878.61786342,0.99002687,0.98141513,0.98551359,0.98620755,1,2
1584677170.32909346,0.98993271,0.98080129,0.98542798,0.98601078,2,2
1584677470.28975129,0.98974077,0.98029523,0.98534386,0.98582134,2,1
1584677774.71555638,0.98942635,0.97995865,0.98526893,0.98565423,1,1
1584678077.3230989,0.98915886,0.97967714,0.98519984,0.9855023,1,2
1584678372.35688496,0.98884031,0.97932969,0.9851141,0.98532064,2,2
1584678671.59427667,0.98841783,0.97906117,0.98502709,0.98514022,2,2
1584678969.77471781,0.98797101,0.97880599,0.98493487,0.98495316,2,1
1584679273.0815599,0.98743765,0.97867635,0.98484883,0.98478205,1,2
1584679570.43199778,0.98690679,0.97853521,0.98475579,0.9846004,2,1
1584679871.2790029,0.98623675,0.97853425,0.98466557,0.98442784,1,1
1584680171.65382504,0.98541539,0.97869061,0.98457754,0.98426283,1,1
1584680484.14779782,0.98478374,0.97885426,0.98450551,0.98413252,1,1
1584680792.72595978,0.98421541,0.97907459,0.98444719,0.98403164,1,1
1584681099.03984261,0.98397782,0.97915618,0.98440071,0.98395588,1,2
1584681395.35120153,0.98338984,0.97946216,0.9843496,0.98387212,2,2
1584681687.70226598,0.98289296,0.97968604,0.98428664,0.98376616,2,2
1584681985.55942917,0.98264227,0.97975173,0.98422096,0.98365651,2,1
1584682286.82106423,0.98253166,0.97975834,0.98415817,0.98355429,1,2
1584682579.58332157,0.98250714,0.97967386,0.98408336,0.98342981,2,2
1584682876.79139185,0.98213023,0.97975977,0.98400408,0.98329844,2,1
1584683184.33960032,0.98210515,0.97971685,0.98393489,0.98318909,1,2
1584683483.1881175,0.98207906,0.97966594,0.98386509,0.98308011,2,1
1584683787.8742435,0.98199485,0.97966115,0.98380182,0.98298559,1,1
1584684089.15434647,0.98185813,0.97969387,0.98374119,0.98289753,1,2
1584684382.39832902,0.98184948,0.97964152,0.98367226,0.9827941,2,1
1584684687.90610313,0.9818441,0.9796289,0.98361024,0.9827057,1,1
1584684988.70071983,0.98184444,0.97964956,0.98355023,0.98262234,1,1
1584685289.78080392,0.98184543,0.97965257,0.9834924,0.98254421,1,1
1584685595.34062147,0.9818485,0.9797235,0.98344087,0.98247934,1,1
