rsi,bu,bl,bu2,bl2,MA1,MA2,open1,close1,Low1,High1,resultado
60.60958177,0.00110437,0.00032538,0.00125775,0,0.00094625,0.0008405,0.00113688,0.00113688,1.11209,1.11236,0
63.52149068,0.00118716,0.00038602,0.00136685,0,0.00097301,0.00087783,0.00129709,0.00129709,1.11222,1.11253,1
56.74519666,0.00121665,0.00041783,0.00141148,0,0.00097692,0.00088768,0.00108874,0.00108874,1.11228,1.11257,0
60.42563716,0.00129041,0.0004826,0.00151669,0,0.00101077,0.00093051,0.00128701,0.00128701,1.11224,1.11248,1
50.6058051,0.0012725,0.00047437,0.00150054,0,0.00098703,0.00090829,0.00090494,0.00090494,1.11203,1.11245,1
49.17153797,0.0012568,0.00046387,0.00150001,0,0.00097762,0.00089921,0.00083834,0.00083834,1.11187,1.1122,0
54.90634241,0.0012766,0.00045911,0.00152871,0,0.00097683,0.00090365,0.00108536,0.00108536,1.11198,1.11228,0
57.3913912,0.00131579,0.00047024,0.0015717,0,0.00097952,0.00091364,0.00120352,0.00120352,1.11227,1.11255,0
60.33400019,0.00136197,0.00044063,0.00159561,0,0.00096421,0.00090817,0.0013308,0.0013308,1.11237,1.11265,0
62.5615515,0.00147441,0.0004586,0.00171201,0,0.00100105,0.00095666,0.001478,0.001478,1.11252,1.11279,1
60.42967972,0.00148287,0.0004456,0.00169447,0,0.00093823,0.00091259,0.00132923,0.00132923,1.11255,1.11265,1
56.89621348,0.00145796,0.00046148,0.00167411,0,0.00090729,0.0008881,0.00118272,0.00118272,1.11247,1.1126,1
54.70411195,0.00138411,0.00046487,0.00159732,0,0.00084663,0.00083218,0.00104799,0.00104799,1.11238,1.11267,1
52.82540923,0.00136685,0.00046247,0.00158266,0,0.00082709,0.00081596,0.00096566,0.00096566,1.11214,1.11244,1
45.52865536,0.00136242,0.00048438,0.00158514,0,0.00082793,0.00081488,0.0007089,0.0007089,1.1121,1.11244,0
50.35706931,0.00133393,0.00053197,0.00158257,0,0.00082099,0.00080944,0.00087095,0.00087095,1.11206,1.1124,1
49.25083842,0.00128884,0.0005293,0.00153948,0,0.00078731,0.0007764,0.00079707,0.00079707,1.11218,1.11236,1
44.04129027,0.00128247,0.00050541,0.00152189,0,0.00077141,0.00075724,0.00058494,0.00058494,1.11188,1.11233,1
39.53747991,0.00132963,0.00045855,0.00154285,0,0.00077691,0.00075579,0.00039809,0.00039809,1.11178,1.11219,1
38.27298148,0.00136313,0.00036705,0.00154285,0,0.00076822,0.00073941,0.00033809,0.00033809,1.11172,1.11193,0
41.93920077,0.00135889,0.00031649,0.00154772,0,0.00076498,0.00073108,0.00045119,0.00045119,1.1118,1.11208,0
46.8812073,0.00133028,0.00026952,0.0015088,0,0.00073614,0.00070059,0.0005854,0.0005854,1.11188,1.11213,0
48.07122407,0.00127456,0.00021934,0.00145657,0,0.0006995,0.00066319,0.00059095,0.00059095,1.11202,1.11222,1
44.08289533,0.00130013,0.00021831,0.0014851,0,0.00071465,0.00067475,0.00046122,0.00046122,1.11193,1.11213,0
46.32110515,0.00129977,0.00021325,0.00148335,0,0.00070981,0.00066791,0.00053001,0.00053001,1.11172,1.11201,0
58.95802033,0.00130142,0.0001896,0.00147803,0,0.00069415,0.00066011,0.00100801,0.00100801,1.112,1.11254,1
51.39992043,0.00127258,0.00017069,0.00146127,0,0.00068025,0.00064801,0.00070364,0.00070364,1.11217,1.11263,1
