open,high,low,close,from,to,volume,ask,bid,ema_30_60,ema_100_60,ema_30_300,ema_100_300,rsi_60,rsi_300,rsi_900,mood_forex,color,signal
109.333,1.093.415,109.328,1.093.335,1586541600,1586541900,530,109.351,109.316,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.335,1586541600,1586541900,532,109.351,109.316,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.335,1586541600,1586541900,534,109.351,109.316,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.335,1586541600,1586541900,538,109.353,109.317,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.334,1586541600,1586541900,544,109.353,109.315,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.332,1586541600,1586541900,546,109.345,109.319,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.345,1586541600,1586541900,549,109.351,109.318,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.345,1586541600,1586541900,549,109.351,109.318,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.336,1586541600,1586541900,550,109.351,109.321,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.385,1586541600,1586541900,554,109.355,109.322,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.385,1586541600,1586541900,557,109.355,109.322,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.338,1586541600,1586541900,563,109.357,109.319,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,10.934,1586541600,1586541900,568,109.354,109.326,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,109.334,1586541600,1586541900,570,109.348,10.932,1.093.702,1.094.244,1.094.338,1.094.415,17.237.547,0.998121,0.475126,0.5,0,0
109.333,1.093.415,109.328,1.093.405,1586541600,1586541900,574,109.358,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,1.093.405,1586541600,1586541900,576,109.358,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,1.093.405,1586541600,1586541900,579,109.356,109.325,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,10.934,1586541600,1586541900,583,109.358,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,10.934,1586541600,1586541900,583,109.358,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,109.339,1586541600,1586541900,586,109.358,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,1.093.365,1586541600,1586541900,591,109.354,109.319,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,109.339,1586541600,1586541900,595,109.357,109.321,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,10.934,1586541600,1586541900,600,109.358,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,109.334,1586541600,1586541900,601,109.346,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,109.334,1586541600,1586541900,604,109.348,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,1.093.415,109.328,1.093.315,1586541600,1586541900,606,109.346,109.317,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.342,1586541600,1586541900,609,109.355,109.329,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.341,1586541600,1586541900,612,109.356,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,616,109.354,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.338,1586541600,1586541900,621,109.355,109.321,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.325,1586541600,1586541900,623,109.345,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,109.337,1586541600,1586541900,625,109.353,109.321,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.385,1586541600,1586541900,628,109.357,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.415,1586541600,1586541900,631,109.357,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.325,1586541600,1586541900,633,109.345,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,638,109.357,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,638,109.357,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.336,1586541600,1586541900,642,109.349,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.385,1586541600,1586541900,647,109.357,10.932,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.345,1586541600,1586541900,652,109.346,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.345,1586541600,1586541900,652,109.346,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.345,1586541600,1586541900,652,109.346,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.365,1586541600,1586541900,660,109.351,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,664,109.358,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.341,1586541600,1586541900,670,109.355,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.341,1586541600,1586541900,672,109.355,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,675,109.348,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,109.335,1586541600,1586541900,676,109.348,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.335,1586541600,1586541900,679,109.349,109.321,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,683,109.348,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,686,109.349,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,688,109.345,109.326,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.375,1586541600,1586541900,691,109.348,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,695,109.357,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,695,109.357,109.322,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,10.934,1586541600,1586541900,699,109.353,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,705,109.346,109.325,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.395,1586541600,1586541900,708,109.356,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,1
109.333,109.344,109.328,1.093.355,1586541600,1586541900,712,109.348,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,109.336,1586541600,1586541900,714,109.347,109.325,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,1
109.333,109.344,109.328,1.093.405,1586541600,1586541900,718,109.358,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,1,0
109.333,109.344,109.328,109.338,1586541600,1586541900,720,109.351,109.325,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,723,109.353,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,10.934,1586541600,1586541900,723,109.353,109.327,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.339,1586541600,1586541900,725,109.355,109.323,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.338,1586541600,1586541900,730,109.352,109.324,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
109.333,109.344,109.328,109.338,1586541600,1586541900,730,109.352,109.324,1.093.681,1.094.227,1.094.335,1.094.414,18.652.983,0.0,0.0,0.5,0,0
