rsi,bb_up,bb_down,bb_up2,bb_down2,ma100,ma50,sar,stoch,close,open,result
41.51392147,0.98007202,0.97985298,0.98098176,0.97931691,0.98052932,0.98031788,0.98,37.77777778,0.97995,0.97994,0
44.39430223,0.98007086,0.97986214,0.98092259,0.97933274,0.98051824,0.98030424,0.97981,43.75,0.97997,0.97996,0
52.601011,0.98005968,0.97986732,0.98076302,0.97940832,0.98049871,0.98028239,0.97982382,77.77777778,0.98003,0.98003,1
38.71599404,0.98005489,0.97986211,0.98069355,0.97943445,0.98048705,0.98026779,0.97983799,66.15384615,0.97991,0.98003,0
39.13280362,0.98003437,0.97987463,0.98051875,0.97952392,0.98046462,0.98024066,0.9800548,40.54054054,0.97991,0.97991,0
45.78703023,0.98003397,0.97988003,0.98030636,0.97966298,0.98044425,0.98021793,0.98004471,51.28205128,0.97995,0.97995,1
41.60084196,0.98003285,0.97987615,0.98011038,0.97980495,0.98042369,0.98019502,0.98003502,50,0.97992,0.97992,0
43.76969685,0.98002519,0.97987581,0.98010787,0.97981013,0.98041391,0.98018463,0.98003032,47.43589744,0.97993,0.97992,1
42.01430679,0.98001654,0.97987546,0.98009596,0.97981337,0.98040413,0.98017425,0.98002571,47.43589744,0.97992,0.97996,1
42.97028008,0.98001691,0.97987409,0.98007642,0.97981758,0.98038495,0.98015432,0.98001677,52.23880597,0.97992,0.97992,1
41.50024871,0.9800036,0.9798724,0.98005371,0.97983429,0.98035749,0.98012707,0.98000403,51.42857143,0.97991,0.97991,1
41.50024871,0.98000137,0.97986963,0.98005416,0.97983317,0.98034863,0.98011856,0.97999995,48.48484848,0.97991,0.97992,0
60.90979967,0.98000544,0.97986856,0.98005703,0.97983431,0.98034133,0.98011312,0.97999595,62.85714286,0.97998,0.97992,0
66.30066557,0.98001537,0.97986463,0.98006297,0.97983103,0.98033477,0.98010908,0.9798,76.19047619,0.98001,0.97999,1
48.67856404,0.9800126,0.9798644,0.98005523,0.9798341,0.98032695,0.98010245,0.9798048,71.42857143,0.97994,0.98002,1
46.68437712,0.98000098,0.97986802,0.98004661,0.97983739,0.98031909,0.98009569,0.9798095,55.55555556,0.97993,0.97996,1
44.62761392,0.97997916,0.97987884,0.98004661,0.97983739,0.98031119,0.9800888,0.97981411,38.88888889,0.97992,0.97993,0
62.97743267,0.97999758,0.97987142,0.98005724,0.97983342,0.98030542,0.9800861,0.97981863,53.7037037,0.98002,0.97992,0
77.33934848,0.98007553,0.97982047,0.98012135,0.97978132,0.98030313,0.98009017,0.97982306,79.71014493,0.98019,0.98001,1
73.56244739,0.98011961,0.97980239,0.98016509,0.97975491,0.9803005,0.9800933,0.97983774,90.90909091,0.98017,0.98018,1
61.69847566,0.98013834,0.97979966,0.98018283,0.97974584,0.98029653,0.98009357,0.97986127,82.0754717,0.9801,0.98019,0
68.27655047,0.9801728,0.9797882,0.98021906,0.97972427,0.98029422,0.98009696,0.9798834,77.98165138,0.98018,0.9801,1
68.34599842,0.98022734,0.97978566,0.98027839,0.97969561,0.98028975,0.98010336,0.97992374,86.11111111,0.98019,0.98019,1
52.10236193,0.98023413,0.97979387,0.98028613,0.97969521,0.98028559,0.98010244,0.97994212,75.96153846,0.98008,0.98022,0
70.65059793,0.98029225,0.97977775,0.98035196,0.97965137,0.98028667,0.98011176,0.97995939,82.88288288,0.98034,0.9801,0
73.73164673,0.98035779,0.97976221,0.9804279,0.97960076,0.98028911,0.98012345,0.97998984,75.86206897,0.98041,0.9804,1
55.83368125,0.9803733,0.9797767,0.98044835,0.97960099,0.98028774,0.98012724,0.98005185,65.89595376,0.98022,0.98038,1
44.35769269,0.98037066,0.97979234,0.98044836,0.97960897,0.98028284,0.98012382,0.98061,38.29787234,0.98004,0.98022,1
28.33937728,0.98041727,0.97971373,0.98049382,0.97954285,0.98026932,0.98010328,0.9805986,10.45454545,0.9796,0.9799,0
36.01903521,0.98043212,0.97968088,0.98051008,0.97951259,0.98025864,0.98008864,0.98055826,6.46387833,0.97973,0.97958,1
23.9998919,0.98055133,0.97948967,0.9806525,0.9793195,0.98023748,0.9800534,0.98049956,5.6980057,0.97919,0.97973,0
36.75109613,0.98057634,0.97941466,0.98069091,0.97925176,0.98022248,0.98003091,0.9803916,13.16455696,0.97948,0.97924,0
40.97687167,0.98058151,0.97936749,0.98070835,0.97921232,0.98020995,0.98001362,0.98029227,18.49315068,0.97959,0.97948,0
42.92678628,0.98058376,0.97933524,0.98071826,0.97918308,0.98019867,0.97999897,0.98020089,28.76712329,0.97964,0.97959,1
41.38853958,0.98058723,0.97929777,0.9807314,0.97914793,0.98018661,0.97998293,0.98011682,31.27853881,0.97959,0.97961,1
36.39942398,0.98060137,0.97923363,0.9807631,0.97908357,0.98017143,0.97996085,0.98003947,28.91566265,0.97942,0.97959,1
34.21586666,0.9806099,0.9791571,0.98080061,0.97900739,0.98015497,0.97993651,0.97996831,23.13624679,0.97934,0.97936,1
23.2379752,0.98066888,0.97895712,0.98094807,0.9787846,0.98012774,0.97989115,0.97990285,18.8630491,0.97878,0.97934,1
18.01327779,0.98077601,0.97866599,0.98117425,0.97845241,0.98009214,0.97982993,0.97976356,14.04761905,0.97833,0.97879,0
27.03593708,0.98079872,0.97848828,0.98128774,0.97824826,0.9800616,0.97977974,0.97957594,16.55629139,0.97855,0.97833,1
24.93139008,0.98080131,0.97830769,0.98140354,0.97803179,0.9800287,0.97972563,0.97941082,19.62421712,0.9784,0.97858,1
21.11069269,0.98081595,0.97808505,0.98154692,0.97776242,0.97999031,0.97966149,0.97920491,19.47261663,0.97809,0.97841,1
17.50801361,0.98084127,0.97781273,0.98172616,0.97743051,0.97994535,0.97958535,0.97902782,14.67391304,0.97772,0.97809,0
18.3553032,0.98083128,0.97758872,0.98185859,0.97715141,0.97990168,0.97951299,0.97878657,10.79734219,0.97774,0.97772,1
18.04257828,0.98073802,0.97741898,0.98196132,0.97690068,0.97985828,0.97944228,0.97854419,11.90108192,0.97771,0.97775,0
18.04257828,0.980587,0.9773,0.98203511,0.97667956,0.97981574,0.97937435,0.97834543,13.39712919,0.97771,0.97769,0
31.36271222,0.98041602,0.97724698,0.98204001,0.97653865,0.97977939,0.97931967,0.97818246,18.03005008,0.97798,0.97773,0
40.95844397,0.98024392,0.97723708,0.98198539,0.97646194,0.97974851,0.97927654,0.97744,30.63583815,0.97822,0.97799,1
39.91221889,0.98013755,0.97720145,0.9819224,0.97639226,0.97971745,0.97923354,0.9774558,45.87973274,0.97818,0.97821,0
40.34081823,0.97998982,0.97719518,0.98185469,0.97633264,0.97968721,0.97919262,0.97747128,61.18598383,0.97819,0.97817,1
28.95550312,0.97993864,0.97709736,0.98180213,0.97621987,0.97964786,0.97913408,0.97750323,51.92878338,0.9777,0.9782,0
29.41288842,0.9798196,0.9770394,0.98172805,0.97612995,0.97960948,0.97907824,0.97827,42.95302013,0.97771,0.97768,1
25.37035587,0.97966445,0.97698455,0.98165076,0.97602724,0.97956751,0.97901595,0.978254,21.72284644,0.97749,0.97765,0
26.40484261,0.97945762,0.97697838,0.98156541,0.97594126,0.97952677,0.9789569,0.97822144,16,0.97751,0.97747,1
26.9742357,0.97921667,0.97701233,0.9814033,0.97591537,0.97948703,0.97890055,0.97817395,12.59541985,0.97752,0.97753,1
21.53779441,0.97899617,0.97701383,0.98122198,0.97588469,0.97944234,0.97883504,0.97810564,9.89399293,0.97723,0.97753,1
15.7501423,0.97880842,0.97694358,0.98110885,0.97576715,0.97938922,0.97875366,0.97801807,6.51558074,0.97676,0.97724,1
11.63429946,0.97884068,0.97665432,0.9810863,0.97553436,0.97932627,0.97865391,0.9778635,1.07296137,0.97621,0.97677,0
24.88411579,0.9788356,0.9764804,0.98104622,0.97537044,0.97927109,0.97857101,0.97762921,7.34265734,0.97654,0.9762,0
26.01862588,0.9787528,0.9763652,0.98094278,0.97526322,0.97921761,0.97849254,0.97739574,12.68057785,0.97657,0.97654,1
21.3112278,0.97871873,0.97617727,0.9809571,0.97504823,0.97915746,0.97840185,0.97719962,15.12027491,0.97618,0.97657,1
20.87543504,0.97870566,0.97599534,0.98089187,0.9748908,0.97909771,0.97831315,0.97699629,12.77372263,0.97614,0.97618,0
31.85001413,0.97868743,0.97588357,0.98073296,0.97483837,0.97904468,0.97823891,0.97678703,14.98054475,0.97642,0.97617,0
34.05499184,0.97865008,0.97579492,0.9805205,0.97484017,0.9789939,0.97816993,0.97661963,22.97297297,0.97648,0.97645,1
31.56557957,0.97861197,0.97569703,0.98029234,0.97485232,0.97894154,0.97809856,0.97658,27.72277228,0.97635,0.97648,0
42.17391007,0.97855152,0.97565048,0.98004048,0.97491885,0.97889597,0.97804137,0.97595,34.83870968,0.97664,0.97636,1
40.70522597,0.97825865,0.97563935,0.97960604,0.97502263,0.97880515,0.977929,0.97599205,62.90322581,0.97658,0.97658,0
43.9963528,0.97805863,0.97568737,0.97950433,0.97501301,0.97876267,0.97787923,0.97604413,72.96296296,0.97666,0.97657,1
41.10856323,0.97781716,0.97576684,0.97934808,0.97503726,0.97871926,0.97782789,0.97609308,71.79487179,0.97657,0.97671,1
37.99150193,0.97767478,0.97578622,0.9792087,0.97504797,0.97867472,0.97777464,0.97613909,67.76556777,0.97647,0.97656,0
45.43835833,0.97750724,0.97584576,0.97910542,0.97505392,0.97863423,0.97772975,0.97618235,63.74501992,0.97663,0.97651,1
34.46162268,0.97720933,0.97588767,0.97902891,0.97492909,0.97853956,0.97761368,0.976847,31.67420814,0.97623,0.97623,1
28.66352529,0.97701029,0.97593171,0.97899873,0.97484327,0.97848868,0.97754922,0.97681272,10.33057851,0.97597,0.97624,0
34.8310777,0.97685082,0.97597818,0.97894254,0.97479212,0.97844138,0.97749239,0.97676156,14.60674157,0.9761,0.97598,1
29.52874881,0.97683843,0.97590057,0.97884473,0.9747486,0.97839026,0.97742837,0.97671346,8.30449827,0.97586,0.9761,0
42.29386356,0.97683947,0.97589553,0.97864212,0.97481455,0.9783463,0.97737902,0.97663799,21.07023411,0.97617,0.97587,1
41.21026366,0.97682282,0.97587118,0.97841948,0.97490052,0.97830241,0.97733004,0.97656855,27.50809061,0.97613,0.97617,0
46.597587,0.97679756,0.97586644,0.97814592,0.97504608,0.97826217,0.97728847,0.97650466,42,0.97627,0.97612,0
52.22625098,0.97680647,0.97588253,0.97797801,0.97512933,0.97822589,0.97725481,0.97577,50.66666667,0.97643,0.97632,1
48.62281292,0.97680648,0.97590152,0.97778186,0.97523347,0.97818834,0.97721854,0.9757836,58.90410959,0.97633,0.97638,1
45.44786416,0.97679903,0.97589097,0.97762356,0.97530844,0.97814976,0.97718017,0.97581066,64.75095785,0.97624,0.97633,1
42.66213299,0.97678542,0.97587258,0.97743236,0.97540964,0.97811036,0.97714016,0.97583663,61.73913043,0.97616,0.97624,1
36.65847127,0.97679224,0.97582776,0.9772045,0.97553417,0.97806798,0.97709427,0.97586156,51.20772947,0.97597,0.97619,0
37.69674838,0.97675398,0.97580102,0.97703727,0.97561873,0.97802683,0.97705097,0.97646,39.13043478,0.97599,0.97596,1
30.15494019,0.97672426,0.97565974,0.97707607,0.9754786,0.97793657,0.976949,0.97641592,14.53744493,0.97572,0.97572,0
40.2025361,0.97665478,0.97565322,0.97706587,0.97544613,0.97789624,0.97690786,0.97638608,14.70588235,0.9759,0.97571,1
36.2874267,0.97660225,0.97562675,0.97705915,0.97540018,0.97785433,0.97686363,0.97634252,24.7148289,0.97578,0.9759,0
37.98595597,0.97655775,0.97560525,0.97707685,0.97535781,0.97781385,0.97682231,0.97626872,34375,0.97581,0.97579,0
44.6286673,0.97645434,0.97563866,0.97708286,0.9753378,0.97777655,0.97678732,0.97620082,41.86046512,0.97593,0.97583,0
57.77392285,0.97645844,0.97563756,0.97706924,0.97533943,0.97774612,0.97676586,0.97542,59.31034483,0.97624,0.97593,1
