open,high,low,close,at,from,to,volume,color
1.08582,1.086055,1.085715,1.086005,,1586400600,,674,1.0
1.086,1.086225,1.085975,1.086175,,1586400900,,663,1.0
1.086185,1.086195,1.085685,1.085705,,1586401200,,615,0.0
1.08571,1.08597,1.085675,1.085915,,1586401500,,619,1.0
1.08592,1.086075,1.08588,1.085975,,1586401800,,602,1.0
1.085975,1.08616,1.08596,1.08613,,1586402100,,610,1.0
1.086135,1.08656,1.08613,1.086545,,1586402400,,650,1.0
1.08654,1.08685,1.086525,1.086705,,1586402700,,769,1.0
1.08671,1.08674,1.086405,1.086585,,1586403000,,764,0.0
1.086575,1.08668,1.086485,1.086625,,1586403300,,664,1.0
1.08662,1.086815,1.08659,1.08678,,1586403600,,653,1.0
1.08677,1.086985,1.086585,1.08676,,1586403900,,696,0.0
1.08677,1.086925,1.08663,1.086765,,1586404200,,675,0.0
1.086775,1.086835,1.0866,1.086665,,1586404500,,680,0.0
1.08666,1.08693,1.086645,1.0869,,1586404800,,599,1.0
1.08689,1.086975,1.08676,1.086865,,1586405100,,649,0.0
1.08686,1.08689,1.08675,1.086765,,1586405400,,588,0.0
1.086755,1.086795,1.08658,1.08664,,1586405700,,606,0.0
1.08664,1.086725,1.0865,1.086595,,1586406000,,557,0.0
1.08659,1.086715,1.086555,1.086705,,1586406300,,557,1.0
1.086695,1.087115,1.08668,1.086995,,1586406600,,736,1.0
1.086995,1.087095,1.086845,1.086885,,1586406900,,711,0.0
1.08688,1.08693,1.08656,1.086655,,1586407200,,707,0.0
1.08665,1.08667,1.086385,1.086395,,1586407500,,699,0.0
1.086385,1.08643,1.086245,1.08629,,1586407800,,668,0.0
1.0863,1.08665,1.086255,1.086525,,1586408100,,684,1.0
1.086515,1.086625,1.08626,1.086345,,1586408400,,716,0.0
1.08635,1.086515,1.086345,1.086415,,1586408700,,629,1.0
1.086415,1.08661,1.086285,1.086335,,1586409000,,609,0.0
1.086345,1.08661,1.08629,1.086405,,1586409300,,658,1.0
1.0864,1.086485,1.08625,1.08647,,1586409600,,641,1.0
1.086465,1.086625,1.08636,1.08638,,1586409900,,583,0.0
1.086375,1.08657,1.086295,1.086555,,1586410200,,662,1.0
1.086565,1.086655,1.08644,1.0866,,1586410500,,613,1.0
1.08659,1.086625,1.08626,1.086385,,1586410800,,575,0.0
1.08639,1.086405,1.085935,1.085995,,1586411100,,629,0.0
1.08599,1.08601,1.08574,1.085775,,1586411400,,689,0.0
1.085735,1.085855,1.0855,1.08554,,1586411700,,694,0.0
1.085545,1.08582,1.08538,1.085395,,1586412000,,853,0.0
1.08541,1.08546,1.084235,1.084505,,1586412300,,806,0.0
1.084515,1.08488,1.084285,1.084615,,1586412600,,888,1.0
1.08462,1.08473,1.084095,1.08437,,1586412900,,830,0.0
1.084365,1.084525,1.08413,1.084485,,1586413200,,793,1.0
1.08449,1.08509,1.0843,1.08491,,1586413500,,972,1.0
1.08492,1.085075,1.08476,1.08503,,1586413800,,811,1.0
1.085025,1.085495,1.084795,1.0849,,1586414100,,763,0.0
1.084925,1.084985,1.084595,1.0846,,1586414400,,804,0.0
1.08459,1.08556,1.084575,1.08552,,1586414700,,867,1.0
